Amendments,Approved CommonName,BestHarvest,BestPlantingDates,ColorRGB,CommonName,Cultivar,Description,Emoji,Family,FruitName,Genus,GreenhouseInstructions,GrowingAdvice,GrowingDays,Harvest,OptimalZones,Pests,Ripeness,SoilConditions,SoilInfo,TransplantAge,USDAZoneList,WeatherTolerance,ioscolor
Incorporate compost; side‑dress as needed.,Vates (Cabbage/Turnip/Collard),"{""3"": [1, 2, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52], ""4"": [1, 2, 3, 4, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52], ""5"": [1, 2, 3, 4, 5, 6, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52], ""6"": [1, 2, 3, 4, 5, 6, 7, 8, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52], ""7"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 45, 46, 47, 48, 49, 50, 51, 52], ""8"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 47, 48, 49, 50, 51, 52], ""9"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 49, 50, 51, 52]}","{""3"": [15, 16, 17, 18, 19, 20, 29, 30, 31, 32, 33, 34], ""4"": [13, 14, 15, 16, 17, 18, 31, 32, 33, 34, 35, 36], ""5"": [12, 13, 14, 15, 16, 17, 33, 34, 35, 36, 37, 38], ""6"": [10, 11, 12, 13, 14, 15, 35, 36, 37, 38, 39, 40], ""7"": [8, 9, 10, 11, 12, 13, 37, 38, 39, 40, 41, 42], ""8"": [6, 7, 8, 9, 10, 11, 39, 40, 41, 42, 43, 44], ""9"": [4, 5, 6, 7, 8, 9, 41, 42, 43, 44, 45, 46]}","225,205,180",Vates Turnip,Vates,Collard crop.,🥕,Brassicaceae,Turnip,Brassica,Start indoors if season is short.,Follow standard regional recommendations.,56-140,"Lift at 2–3"" diameter; greens edible younger.","3,4,5,6,7,8,9","Aphids, beetles; diseases vary by region.","Roots firm, smooth; 5–8 cm diameter. Greens tender at smaller sizes; avoid sponginess. Collard: pick outer leaves when broad and tender; sweetest after light frost.",Retain water,"Fertile, well‑drained loam; pH ~6.0–7.0.",,"[3, 4, 5, 6, 7, 8, 9]","Cool,Cold,Wet",BrassicaJadecross225205180
Incorporate compost; side‑dress as needed.,Boston Pickling (Cucumber/Melon),"{""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}","235,210,160",Boston Pickling Melon,Boston Pickling,Cucumber crop.,🍈,Cucurbitaceae,Melon,Cucumis,Start indoors if season is short.,Follow standard regional recommendations.,112-140,"Harvest when edible portions reach typical size, color, and texture for the variety.","4,5,6,7,8,9","Aphids, beetles; diseases vary by region.","Full netting, background turns tan; strong aroma. At ‘full slip’ the stem separates cleanly with light pressure. Avoid green under‑color or weak netting. Pickler: pick at 4–7 cm for gherkins or 7–10 cm for dills; firm, deep green; harvest frequently for uniform size.",Retain water,"Fertile, well‑drained loam; pH ~6.0–7.0.",,"[4, 5, 6, 7, 8, 9]","Hot,Drought,Dry,Tropical",CucumbermelonBostonpickling235210160
Incorporate compost; side‑dress as needed.,Burpee Hybrid (Cucumber/Melon),"{""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}","235,210,160",Burpee Hybrid Melon,Burpee Hybrid,Cucumber crop.,🍈,Cucurbitaceae,Melon,Cucumis,Start indoors if season is short.,Follow standard regional recommendations.,112-140,"Harvest when edible portions reach typical size, color, and texture for the variety.","4,5,6,7,8,9","Aphids, beetles; diseases vary by region.","Full netting, background turns tan; strong aroma. At ‘full slip’ the stem separates cleanly with light pressure. Avoid green under‑color or weak netting. Slicers: pick at 18–22 cm, firm and uniformly colored; avoid yellowing; frequent picking maintains production.",Retain water,"Fertile, well‑drained loam; pH ~6.0–7.0.",,"[4, 5, 6, 7, 8, 9]","Hot,Drought,Dry,Tropical",CucumbermelonBostonpickling235210160
Incorporate compost; side‑dress as needed.,Marketmore (Cucumber/Melon),"{""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}","235,210,160",Marketmore Melon,Marketmore,Cucumber crop.,🍈,Cucurbitaceae,Melon,Cucumis,Start indoors if season is short.,Follow standard regional recommendations.,112-140,"Harvest when edible portions reach typical size, color, and texture for the variety.","4,5,6,7,8,9","Aphids, beetles; diseases vary by region.","Full netting, background turns tan; strong aroma. At ‘full slip’ the stem separates cleanly with light pressure. Avoid green under‑color or weak netting. Slicer: harvest at 18–20 cm, dark green and glossy; seeds small; pick every 1–2 days to prevent seeding out.",Retain water,"Fertile, well‑drained loam; pH ~6.0–7.0.",,"[4, 5, 6, 7, 8, 9]","Hot,Drought,Dry,Tropical",CucumbermelonBostonpickling235210160
Incorporate compost; side‑dress as needed.,Straight Eight (Cucumber/Melon),"{""4"": [36, 37, 38, 39, 40, 41, 42, 43], ""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34]}","{""4"": [20, 21, 22, 23], ""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14]}","235,210,160",Straight Eight Melon,Straight Eight,Cucumber crop.,🍈,Cucurbitaceae,Melon,Cucumis,Start indoors if season is short.,Follow standard regional recommendations.,112-140,"Harvest when edible portions reach typical size, color, and texture for the variety.","4,5,6,7,8,9","Aphids, beetles; diseases vary by region.","Full netting, background turns tan; strong aroma. At ‘full slip’ the stem separates cleanly with light pressure. Avoid green under‑color or weak netting. Slicers: pick at 18–22 cm, firm and uniformly colored; avoid yellowing; frequent picking maintains production.",Retain water,"Fertile, well‑drained loam; pH ~6.0–7.0.",,"[4, 5, 6, 7, 8, 9]","Hot,Drought,Dry,Tropical",CucumbermelonBostonpickling235210160
Incorporate compost; side‑dress as needed.,Black Beauty (Potato/Tomato/Eggplant),"{""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34], ""10"": [25, 26, 27, 28, 29, 30, 31, 32]}","{""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}","35,35,35",Black Beauty Tomato,Black Beauty,Eggplant crop.,🍅,Solanaceae,Tomato,Solanum,Start indoors if season is short.,Follow standard regional recommendations.,112-140,Harvest at full color (breaker to red) and slight give; clip or twist off with calyx.,"5,6,7,8,9,10","Aphids, beetles; diseases vary by region.","Stage: breaker→turning→pink→light red→red. Pick at full varietal color with slight give at blossom end. Aroma present near calyx. Calyx releases with gentle twist. Avoid hard shoulders/green core; avoid over‑soft wateriness. Globe eggplant: glossy, deep purple; slight thumb dent springs back; seeds pale; harvest before dullness.",Retain water,"Fertile, well‑drained loam; pH ~6.0–7.0.",,"[5, 6, 7, 8, 9, 10]","Hot,Drought,Dry,Tropical",BeanBlackBlackbear353535
Incorporate compost; side‑dress as needed.,Dusky (Potato/Tomato/Eggplant),"{""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34], ""10"": [25, 26, 27, 28, 29, 30, 31, 32]}","{""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}","222,41,22",Dusky Tomato,Dusky,Eggplant crop.,🍅,Solanaceae,Tomato,Solanum,Start indoors if season is short.,Follow standard regional recommendations.,112-140,Harvest at full color (breaker to red) and slight give; clip or twist off with calyx.,"5,6,7,8,9,10","Aphids, beetles; diseases vary by region.",Stage: breaker→turning→pink→light red→red. Pick at full varietal color with slight give at blossom end. Aroma present near calyx. Calyx releases with gentle twist. Avoid hard shoulders/green core; avoid over‑soft wateriness. Eggplant: glossy skin and firm feel; slight give on pressure; seeds pale—avoid browning.,Retain water,"Fertile, well‑drained loam; pH ~6.0–7.0.",,"[5, 6, 7, 8, 9, 10]","Hot,Drought,Dry,Tropical",TomatoDusky2224122
Incorporate compost; side‑dress as needed.,Japanese Long (Potato/Tomato/Eggplant),"{""5"": [35, 36, 37, 38, 39, 40, 41, 42], ""6"": [33, 34, 35, 36, 37, 38, 39, 40], ""7"": [31, 32, 33, 34, 35, 36, 37, 38], ""8"": [29, 30, 31, 32, 33, 34, 35, 36], ""9"": [27, 28, 29, 30, 31, 32, 33, 34], ""10"": [25, 26, 27, 28, 29, 30, 31, 32]}","{""5"": [19, 20, 21, 22], ""6"": [17, 18, 19, 20], ""7"": [15, 16, 17, 18], ""8"": [13, 14, 15, 16], ""9"": [11, 12, 13, 14], ""10"": [9, 10, 11, 12]}","222,41,22",Japanese Long Tomato,Japanese Long,Eggplant crop.,🍅,Solanaceae,Tomato,Solanum,Start indoors if season is short.,Follow standard regional recommendations.,112-140,Harvest at full color (breaker to red) and slight give; clip or twist off with calyx.,"5,6,7,8,9,10","Aphids, beetles; diseases vary by region.",Stage: breaker→turning→pink→light red→red. Pick at full varietal color with slight give at blossom end. Aroma present near calyx. Calyx releases with gentle twist. Avoid hard shoulders/green core; avoid over‑soft wateriness. Asian eggplant: slender fruit 20–30 cm; shiny skin; interior seed soft; harvest young for tenderness.,Retain water,"Fertile, well‑drained loam; pH ~6.0–7.0.",,"[5, 6, 7, 8, 9, 10]","Hot,Drought,Dry,Tropical",TomatoDusky2224122
Incorporate compost; side‑dress as needed.,American Flag (Onion/Leek/Shallot/Garlic),"{""3"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46], ""4"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48], ""5"": [20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50], ""6"": [18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52], ""7"": [1, 2, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 45, 46, 47, 48, 49, 50, 51, 52], ""8"": [1, 2, 3, 4, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 47, 48, 49, 50, 51, 52]}","{""3"": [15, 16, 17, 18, 19, 20, 29, 30, 31, 32, 33, 34], ""4"": [13, 14, 15, 16, 17, 18, 31, 32, 33, 34, 35, 36], ""5"": [12, 13, 14, 15, 16, 17, 33, 34, 35, 36, 37, 38], ""6"": [10, 11, 12, 13, 14, 15, 35, 36, 37, 38, 39, 40], ""7"": [8, 9, 10, 11, 12, 13, 37, 38, 39, 40, 41, 42], ""8"": [6, 7, 8, 9, 10, 11, 39, 40, 41, 42, 43, 44]}","170,200,140",American Flag Leek,American Flag,Leek crop.,🧅,Amaryllidaceae,Leek,Allium,Start indoors if season is short.,Follow standard regional recommendations.,56-84,"Harvest when shanks reach 1–2"" diameter; mound soil to blanch earlier.","3,4,5,6,7,8","Aphids, beetles; diseases vary by region.","Shanks thick (2–5 cm), firm, and white portion long. No pithiness; leaves tight and green. Leek: shanks 2–4 cm thick, long white; leaves crisp; avoid pithy centers.",Retain water,"Fertile, well‑drained loam; pH ~6.0–7.0.",,"[3, 4, 5, 6, 7, 8]","Cool,Cold,Wet",AlliumAmericanflag170200140
Incorporate compost; side‑dress as needed.,King Richard (Onion/Leek/Shallot/Garlic),"{""3"": [23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46], ""4"": [21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48], ""5"": [20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50], ""6"": [18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52], ""7"": [1, 2, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 45, 46, 47, 48, 49, 50, 51, 52], ""8"": [1, 2, 3, 4, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 47, 48, 49, 50, 51, 52]}","{""3"": [15, 16, 17, 18, 19, 20, 29, 30, 31, 32, 33, 34], ""4"": [13, 14, 15, 16, 17, 18, 31, 32, 33, 34, 35, 36], ""5"": [12, 13, 14, 15, 16, 17, 33, 34, 35, 36, 37, 38], ""6"": [10, 11, 12, 13, 14, 15, 35, 36, 37, 38, 39, 40], ""7"": [8, 9, 10, 11, 12, 13, 37, 38, 39, 40, 41, 42], ""8"": [6, 7, 8, 9, 10, 11, 39, 40, 41, 42, 43, 44]}","170,200,140",King Richard Leek,King Richard,Leek crop.,🧅,Amaryllidaceae,Leek,Allium,Start indoors if season is short.,Follow standard regional recommendations.,56-84,"Harvest when shanks reach 1–2"" diameter; mound soil to blanch earlier.","3,4,5,6,7,8","Aphids, beetles; diseases vary by region.","Shanks thick (2–5 cm), firm, and white portion long. No pithiness; leaves tight and green. Leek: shanks 2–4 cm thick, long white; leaves crisp; avoid pithy centers.",Retain water,"Fertile, well‑drained loam; pH ~6.0–7.0.",,"[3, 4, 5, 6, 7, 8]","Cool,Cold,Wet",AlliumAmericanflag170200140
Incorporate compost; side‑dress as needed.,Black Seeded Simpson (Lettuce),"{""2"": [1, 2, 3, 4, 5, 6, 7, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52], ""3"": [1, 2, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52], ""4"": [1, 2, 3, 4, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52], ""5"": [1, 2, 3, 4, 5, 6, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52], ""6"": [1, 2, 3, 4, 5, 6, 7, 8, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52], ""7"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 45, 46, 47, 48, 49, 50, 51, 52], ""8"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 47, 48, 49, 50, 51, 52], ""9"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 49, 50, 51, 52]}","{""2"": [12, 13, 14, 15, 16, 17, 34, 35, 36, 37, 38, 39], ""3"": [15, 16, 17, 18, 19, 20, 29, 30, 31, 32, 33, 34], ""4"": [13, 14, 15, 16, 17, 18, 31, 32, 33, 34, 35, 36], ""5"": [12, 13, 14, 15, 16, 17, 33, 34, 35, 36, 37, 38], ""6"": [10, 11, 12, 13, 14, 15, 35, 36, 37, 38, 39, 40], ""7"": [8, 9, 10, 11, 12, 13, 37, 38, 39, 40, 41, 42], ""8"": [6, 7, 8, 9, 10, 11, 39, 40, 41, 42, 43, 44], ""9"": [4, 5, 6, 7, 8, 9, 41, 42, 43, 44, 45, 46]}","35,35,35",Black Seeded Simpson Lettuce,Black Seeded Simpson,Lettuce crop.,🥬,Asteraceae,Lettuce,Lactuca,Start indoors if season is short.,Follow standard regional recommendations.,56-140,Head types at firm head; leaf types by baby to full size; harvest early morning.,"2,3,4,5,6,7,8,9","Aphids, beetles; diseases vary by region.","Heads: firm but not splitting; outer leaves crisp. Leaf: harvest at desired size; avoid bitterness/bolting (elongated stem, latex taste). Leaf lettuce: harvest outer leaves at 15–25 cm; avoid bitterness/bolting; frequent cuttings encourage new growth.",Retain water,"Fertile, well‑drained loam; pH ~6.0–7.0.",,"[2, 3, 4, 5, 6, 7, 8, 9]","Cool,Cold,Wet",BeanBlackBlackbear353535
Incorporate compost; side‑dress as needed.,Buttercrunch (Lettuce),"{""2"": [1, 2, 3, 4, 5, 6, 7, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52], ""3"": [1, 2, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52], ""4"": [1, 2, 3, 4, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52], ""5"": [1, 2, 3, 4, 5, 6, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52], ""6"": [1, 2, 3, 4, 5, 6, 7, 8, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52], ""7"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 45, 46, 47, 48, 49, 50, 51, 52], ""8"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 47, 48, 49, 50, 51, 52], ""9"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 49, 50, 51, 52]}","{""2"": [12, 13, 14, 15, 16, 17, 34, 35, 36, 37, 38, 39], ""3"": [15, 16, 17, 18, 19, 20, 29, 30, 31, 32, 33, 34], ""4"": [13, 14, 15, 16, 17, 18, 31, 32, 33, 34, 35, 36], ""5"": [12, 13, 14, 15, 16, 17, 33, 34, 35, 36, 37, 38], ""6"": [10, 11, 12, 13, 14, 15, 35, 36, 37, 38, 39, 40], ""7"": [8, 9, 10, 11, 12, 13, 37, 38, 39, 40, 41, 42], ""8"": [6, 7, 8, 9, 10, 11, 39, 40, 41, 42, 43, 44], ""9"": [4, 5, 6, 7, 8, 9, 41, 42, 43, 44, 45, 46]}","110,180,100",Buttercrunch Lettuce,Buttercrunch,Lettuce crop.,🥬,Asteraceae,Lettuce,Lactuca,Start indoors if season is short.,Follow standard regional recommendations.,56-140,Head types at firm head; leaf types by baby to full size; harvest early morning.,"2,3,4,5,6,7,8,9","Aphids, beetles; diseases vary by region.","Heads: firm but not splitting; outer leaves crisp. Leaf: harvest at desired size; avoid bitterness/bolting (elongated stem, latex taste). Butterhead: head filled and soft‑but‑dense; leaves tender; harvest in cool hours to maximize crispness.",Retain water,"Fertile, well‑drained loam; pH ~6.0–7.0.",,"[2, 3, 4, 5, 6, 7, 8, 9]","Cool,Cold,Wet",LettuceButtercrunch110180100
Incorporate compost; side‑dress as needed.,Great Lakes (Lettuce),"{""2"": [1, 2, 3, 4, 5, 6, 7, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52], ""3"": [1, 2, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52], ""4"": [1, 2, 3, 4, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52], ""5"": [1, 2, 3, 4, 5, 6, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52], ""6"": [1, 2, 3, 4, 5, 6, 7, 8, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52], ""7"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 45, 46, 47, 48, 49, 50, 51, 52], ""8"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 47, 48, 49, 50, 51, 52], ""9"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 49, 50, 51, 52]}","{""2"": [12, 13, 14, 15, 16, 17, 34, 35, 36, 37, 38, 39], ""3"": [15, 16, 17, 18, 19, 20, 29, 30, 31, 32, 33, 34], ""4"": [13, 14, 15, 16, 17, 18, 31, 32, 33, 34, 35, 36], ""5"": [12, 13, 14, 15, 16, 17, 33, 34, 35, 36, 37, 38], ""6"": [10, 11, 12, 13, 14, 15, 35, 36, 37, 38, 39, 40], ""7"": [8, 9, 10, 11, 12, 13, 37, 38, 39, 40, 41, 42], ""8"": [6, 7, 8, 9, 10, 11, 39, 40, 41, 42, 43, 44], ""9"": [4, 5, 6, 7, 8, 9, 41, 42, 43, 44, 45, 46]}","110,180,100",Great Lakes Lettuce,Great Lakes,Lettuce crop.,🥬,Asteraceae,Lettuce,Lactuca,Start indoors if season is short.,Follow standard regional recommendations.,56-140,Head types at firm head; leaf types by baby to full size; harvest early morning.,"2,3,4,5,6,7,8,9","Aphids, beetles; diseases vary by region.","Heads: firm but not splitting; outer leaves crisp. Leaf: harvest at desired size; avoid bitterness/bolting (elongated stem, latex taste). Crisphead: head firm and heavy for size; slight wrapper leaf looseness; avoid split centers—harvest before overripeness.",Retain water,"Fertile, well‑drained loam; pH ~6.0–7.0.",,"[2, 3, 4, 5, 6, 7, 8, 9]","Cool,Cold,Wet",LettuceButtercrunch110180100
