"Symbol","Scientific Name with Author","GSAT Common Name"
"PUGR2","Punica granatum L.","pomegranate"
"PULE","Puccinellia lemmonii (Vasey) Scribn.","Lemmon's alkaligrass"
"PUME","Purshia mexicana (D. Don) Henrickson","Mexican cliffrose"
"PUNU2","Puccinellia nuttalliana (Schult.) Hitchc.","Nuttall alkaligrass"
"PUNU2","Puccinellia nuttalliana (Schult.) Hitchc.","Nuttall's alkaligrass"
"PUPA5","Pulsatilla patens (L.) Mill.","American pasqueflower"
"PURSH","Purshia DC. ex Poir.","bitterbrush"
"PUST","Purshia stansburiana (Torr.) Henrickson","Stansbury's cliffrose"
"PUTR2","Purshia tridentata (Pursh) DC.","antelope bitterbrush"
"PYAP2","Pyrrocoma apargioides (A. Gray) Greene","alpineflames"
"PYAS","Pyrola asarifolia Michx.","alpine shinleaf"
"PYASA","Pyrola asarifolia Michx. ssp. asarifolia","liverleaf wintergreen"
"PYCA3","Pyrrocoma carthamoides Hook.","largeflower goldenweed"
"PYCAC2","Pyrrocoma carthamoides Hook. var. carthamoides","Columbia goldenweed"
"PYCAC3","Pyrrocoma carthamoides Hook. var. cusickii (A. Gray) Kartesz & Gandhi","narrowhead goldenweed"
"PYCH","Pyrola chlorantha Sw.","green shinleaf"
"PYHI","Pyrrocoma hirta (A. Gray) Greene","tacky goldenweed"
"PYHIH","Pyrrocoma hirta (A. Gray) Greene var. hirta","sticky goldenweed"
"PYHIL","Pyrrocoma hirta (A. Gray) Greene var. lanulosa (Greene) Mayes ex G. Brown & Keil","tacky goldenweed"
"PYLA","Pyrrocoma lanceolata (Hook.) Greene","lanceleaf goldenweed"
"PYLAL","Pyrrocoma lanceolata (Hook.) Greene var. lanceolata","intermountain goldenweed"
"PYLAS","Pyrrocoma lanceolata (Hook.) Greene var. subviscosa (Greene) Mayes ex G. Brown & Keil","lanceleaf goldenweed"
"PYMI","Pyrola minor L.","snowline shinleaf"
"PYPI2","Pyrola picta Sm.","whitevein shinleaf"
"PYRA","Pyrrocoma racemosa (Nutt.) Torr. & A. Gray","clustered goldenweed"
"PYRA2","Pyrrocoma radiata Nutt.","ray goldenweed"
"PYRAC","Pyracantha M. Roem.","pyracantha"
"PYRAP2","Pyrrocoma racemosa (Nutt.) Torr. & A. Gray var. paniculata (Nutt.) Kartesz & Gandhi","clustered goldenweed"
"PYRAR","Pyrrocoma racemosa (Nutt.) Torr. & A. Gray var. racemosa","racemose goldenweed"
"PYROL","Pyrola L.","shinleaf"
"PYRRO","Pyrrocoma Hook.","GOLDENWEED"
"PYUN2","Pyrrocoma uniflora (Hook.) Greene","plantain goldenweed"
"PYUNU","Pyrrocoma uniflora (Hook.) Greene var. uniflora","singlehead goldenweed"
"QUCH2","Quercus chrysolepis Liebm.","canyon live oak"
"QUCHC","Quercus chrysolepis Liebm. var. chrysolepis","canyon live oak"
"QUERC","Quercus L.","oak"
"QUGA","Quercus gambelii Nutt.","Gambel's oak"
"QUGAG","Quercus gambelii Nutt. var. gambelii","Gambel's oak"
"QUGR3","Quercus grisea Liebm.","gray oak"
"QUHA3","Quercus havardii Rydb.","Havard's oak"
"QUINC","Quincula Raf.","quincula"
"QUKE","Quercus kelloggii Newberry","California black oak"
"QULO2","Quincula lobata (Torr.) Raf.","purpleflower groundcherry"
"QUPA10","Quercus palmeri Engelm.","Dunn's oak"
"QUPA4","Quercus ×pauciloba Rydb. (pro sp.) [gambelii × turbinella]","WAVYLEAF OAK"
"QUTU2","Quercus turbinella Greene","turbinella oak"
"QUVA","Quercus vacciniifolia Kellogg","huckleberry oak"
"RAAC3","Ranunculus acris L.","meadow buttercup"
"RAACA3","Ranunculus acris L. var. acris","showy buttercup"
"RAAD","Ranunculus adoneus A. Gray","alpine buttercup"
"RAADA","Ranunculus adoneus A. Gray var. alpinus (S. Watson) L.D. Benson","alpine buttercup"
"RAAL","Ranunculus alismifolius Geyer ex Benth.","dwarf buttercup"
"RAALA","Ranunculus alismifolius Geyer ex Benth. var. alismellus A. Gray","plantainleaf buttercup"
"RAALA2","Ranunculus alismifolius Geyer ex Benth. var. alismifolius","plantainleaf buttercup"
"RAALD","Ranunculus alismifolius Geyer ex Benth. var. davisii L.D. Benson","Davis' buttercup"
"RAALM","Ranunculus alismifolius Geyer ex Benth. var. montanus S. Watson","waterplantain buttercup"
"RAAN","Ranunculus andersonii A. Gray","Anderson's buttercup"
"RAANA","Ranunculus andersonii A. Gray var. andersonii","Anderson's buttercup"
"RAANT","Ranunculus andersonii A. Gray var. tenellus S. Watson","desert buttercup"
"RAAQ","Ranunculus aquatilis L.","water buttercup"
"RAAR","Raillardella argentea (A. Gray) A. Gray","silvermat"
"RACA","Rafinesquia californica Nutt.","California chicory"
"RACO3","Ratibida columnifera (Nutt.) Wooton & Standl.","UPRIGHT PRAIRIE CONEFLOWER"
"RACY","Ranunculus cymbalaria Pursh","alkali buttercup"
"RAES","Ranunculus eschscholtzii Schltdl.","Eschscholtz's buttercup"
"RAESE2","Ranunculus eschscholtzii Schltdl. var. eschscholtzii","Eschscholtz's buttercup"
"RAESO","Ranunculus eschscholtzii Schltdl. var. oxynotus (A. Gray) Jeps.","Eschscholtz's buttercup"
"RAFIN","Rafinesquia Nutt.","CHICORY"
"RAFL","Ranunculus flabellaris Raf.","YELLOW WATER BUTTERCUP"
"RAFL2","Ranunculus flammula L.","spearwort buttercup"
"RAFLF2","Ranunculus flammula L. var. flammula","flam buttercup"
"RAGL","Ranunculus glaberrimus Hook.","sagebrush buttercup"
"RAGLE","Ranunculus glaberrimus Hook. var. ellipticus (Greene) Greene","elliptical buttercup"
"RAGLG","Ranunculus glaberrimus Hook. var. glaberrimus","sagebrush buttercup"
"RAGM","Ranunculus gmelinii DC.","small yellow water buttercup"
"RAHY","Ranunculus hydrocharoides A. Gray","frogbit buttercup"
"RAHY2","Ranunculus hyperboreus Rottb.","artic buttercup"
"RAHYH","Ranunculus hydrocharoides A. Gray var. hydrocharoides","frogbit buttercup"
"RAILL","Raillardella (A. Gray) Benth.","silvermat"
"RAIN","Ranunculus inamoenus Greene","graceful buttercup"
"RAINA","Ranunculus inamoenus Greene var. alpeophilus (A. Nelson) L.D. Benson","graceful buttercup"
"RAINI2","Ranunculus inamoenus Greene var. inamoenus","graceful buttercup"
"RAJO","Ranunculus jovis A. Nelson","Utah buttercup"
"RALO2","Ranunculus longirostris Godr.","LONGBEAK BUTTERCUP"
"RAMA2","Ranunculus macounii Britton","Macoun's buttercup"
"RANE","Rafinesquia neomexicana A. Gray","desert chicory"
"RANUN","Ranunculus L.","buttercup"
"RAOC","Ranunculus occidentalis Nutt.","western buttercup"
"RAOCO","Ranunculus occidentalis Nutt. var. occidentalis","western buttercup"
"RAOR3","Ranunculus orthorhynchus Hook.","straightbeak buttercup"
"RAORO","Ranunculus orthorhynchus Hook. var. orthorhynchus","straightbeak buttercup"
"RAPE","Ranunculus pedatifidus Sm.","surefoot buttercup"
"RAPEA","Ranunculus pedatifidus Sm. var. affinis (R. Br.) L.D. Benson","northern buttercup"
"RAPHA","Raphanus L.","radish"
"RAPIS","Rapistrum Crantz","RAPE"
"RARA2","Raphanus raphanistrum L.","WILD RADISH"
"RARE3","Ranunculus repens L.","creeping buttercup"
"RARU","Rapistrum rugosum (L.) All.","wild rape"
"RASA2","Raphanus sativus L.","garden radish"
"RASC2","Raillardella scaposa (A. Gray) A. Gray","greenleaf silvermat"
"RASC3","Ranunculus sceleratus L.","CELERYLEAF BUTTERCUP"
"RASCM","Ranunculus sceleratus L. var. multifidus Nutt.","blister buttercup"
"RATIB","Ratibida Raf.","PRAIRIE CONEFLOWER"
"RATR","Ranunculus trichophyllus Chaix","white water buttercup"
"RATRT","Ranunculus trichophyllus Chaix var. trichophyllus","hairleaf water buttercup"
"RAUN","Ranunculus uncinatus D. Don ex G. Don","HOOKED BUTTERCUP"
"RAUNU","Ranunculus uncinatus D. Don ex G. Don var. uncinatus","woodland buttercup"
"RHAL","Rhamnus alnifolia L'Hér.","alderleaf buckthorn"
"RHAMN","Rhamnus L.","buckthorn"
"RHCR","Rhamnus crocea Nutt.","redberry"
"RHGL","Rhus glabra L.","SMOOTH SUMAC"
"RHIL","Rhamnus ilicifolia Kellogg","hollyleaf redberry"
"RHINI","Rhodiola integrifolia Raf. ssp. integrifolia","King's crown stonecrop"
"RHTR","Rhus trilobata Nutt.","SKUNKBUSH SUMAC"
"RHTRA","Rhus trilobata Nutt. var. anisophylla (Greene) Jeps.","SKUNKBUSH SUMAC"
"RHTRQ","Rhus trilobata Nutt. var. quinata (Greene) Jeps.","SKUNKBUSH SUMAC"
"RHTRS","Rhus trilobata Nutt. var. simplicifolia (Greene) F.A. Barkley","SKUNKBUSH SUMAC"
"RHTRT","Rhus trilobata Nutt. var. trilobata","SKUNKBUSH SUMAC"
"RHUS","Rhus L.","sumac"
"RIAU","Ribes aureum Pursh","GOLDEN CURRANT"
"RIAUA","Ribes aureum Pursh var. aureum","GOLDEN CURRANT"
"RIBES","Ribes L.","currant"
"RICE","Ribes cereum Douglas","wax currant"
"RICEC2","Ribes cereum Douglas var. cereum","wax currant"
"RICEP","Ribes cereum Douglas var. pedicellare W.H. Brewer & S. Watson","whisky currant"
"RIGIO","Rigiopappus A. Gray","rigiopappus"
"RIHU","Ribes hudsonianum Richardson","black currant"
"RIHUP","Ribes hudsonianum Richardson var. petiolare (Douglas) Jancz.","western black currant"
"RIIN2","Ribes inerme Rydb.","whitestem gooseberry"
"RIINI","Ribes inerme Rydb. var. inerme","whitestem gooseberry"
"RILA","Ribes lacustre (Pers.) Poir.","prickly currant"
"RILA2","Ribes lasianthum Greene","alpine gooseberry"
"RILE2","Rigiopappus leptocladus A. Gray","wireweed"
"RIMO2","Ribes montigenum McClatchie","mountain gooseberry"
"RINE","Ribes nevadense Kellogg","Sierra currant"
"RINEN","Ribes nevadense Kellogg var. nevadense","Nevada currant"
"RINI2","Ribes niveum Lindl.","snow currant"
"RIOX","Ribes oxyacanthoides L.","Canadian gooseberry"
"RIOXH","Ribes oxyacanthoides L. ssp. hendersonii (C.L. Hitchc.) Sinnott","Henderson's gooseberry"
"RIRO","Ribes roezlii Regel","Sierra gooseberry"
"RIROR","Ribes roezlii Regel var. roezlii","Roezl's gooseberry"
"RIVE","Ribes velutinum Greene","desert gooseberry"
"RIVEG","Ribes velutinum Greene var. gooddingii (M. Peck) C.L. Hitchc.","Gooding's gooseberry"
"RIVEV","Ribes velutinum Greene var. velutinum","desert gooseberry"
"RIVI3","Ribes viscosissimum Pursh","sticky currant"
"ROAU","Rorippa austriaca (Crantz) Besser","Austrian fieldcress"
"ROBIN","Robinia L.","locust"
"ROCU","Rorippa curvisiliqua (Hook.) Besser ex Britton","curvepod yellowcress"
"ROCU2","Rorippa curvipes Greene","bluntleaf yellowcress"
"ROCUC","Rorippa curvipes Greene var. curvipes","bluntleaf yellowcress"
"ROCUO2","Rorippa curvisiliqua (Hook.) Besser ex Britton var. orientalis R. Stuckey","Oriental yellowcress"
"ROCUT","Rorippa curvipes Greene var. truncata (Jeps.) Rollins","bluntleaf yellowcress"
"RONE","Robinia neomexicana A. Gray","New Mexico locust"
"RONEN","Robinia neomexicana A. Gray var. neomexicana","New Mexico locust"
"RONU","Rosa nutkana C. Presl","Nootka rose"
"RONUH","Rosa nutkana C. Presl var. hispida Fernald","bristly Nootka rose"
"ROPA2","Rorippa palustris (L.) Besser","marsh yellowcress"
"ROPAF2","Rorippa palustris (L.) Besser ssp. fernaldiana (Butters & Abbe) Jonsell","Fernald's yellowcress"
"ROPAH","Rorippa palustris (L.) Besser ssp. hispida (Desv.) Jonsell","hispid yellowcress"
"ROPAO","Rorippa palustris (L.) Besser ssp. occidentalis (S. Watson) Abrams","western bog yellowcress"
"ROPI2","Rosa pisocarpa A. Gray","cluster rose"
"ROPS","Robinia pseudoacacia L.","BLACK LOCUST"
"RORIP","Rorippa Scop.","yellowcress"
"ROSA5","Rosa L.","rose"
"ROSI2","Rorippa sinuata (Nutt.) Hitchc.","SPREADING YELLOWCRESS"
"ROSP4","Rorippa sphaerocarpa (A. Gray) Britton","roundfruit yellowcress"
"ROSU2","Rorippa subumbellata Rollins","Tahoe yellowcress"
"ROTE","Rorippa tenerrima Greene","Modoc yellowcress"
"ROWO","Rosa woodsii Lindl.","Wood's rose"
"ROWOG2","Rosa woodsii Lindl. var. gratissima (Greene) Cole","Tehachapi rose"
"ROWOU","Rosa woodsii Lindl. var. ultramontana (S. Watson) Jeps.","Woods' rose"
"RUAC3","Rumex acetosella L.","SHEEP SORREL"
"RUAQ","Rumex aquaticus L.","Western dock"
"RUAQF","Rumex aquaticus L. var. fenestratus (Greene) Dorn","Western dock"
"RUAQF","Rumex aquaticus L. var. fenestratus (Greene) Dorn","subalpine dock"
"RUAR9","Rubus armeniacus Focke","Himalaya blackberry"
"RUBIA","Rubia L.","rubia"
"RUBUS","Rubus L.","brambles"
"RUCO2","Rumex conglomeratus Murray","clustered dock"
"RUCR","Rumex crispus L.","CURLY DOCK"
"RUDBE","Rudbeckia L.","coneflower"
"RUHI2","Rudbeckia hirta L.","BLACKEYED SUSAN"
"RUHY","Rumex hymenosepalus Torr.","CANAIGRE"
"RUID","Rubus idaeus L.","western red raspberry"
"RUIDS2","Rubus idaeus L. ssp. strigosus (Michx.) Focke","grayleaf raspberry"
"RULE","Rubus leucodermis Douglas ex Torr. & A. Gray","western raspberry"
"RULEL","Rubus leucodermis Douglas ex Torr. & A. Gray var. leucodermis","whitebark raspberry"
"RUMA4","Rumex maritimus L.","GOLDEN DOCK"
"RUMA5","Ruppia maritima L.","WIDGEONGRASS"
"RUMEX","Rumex L.","dock"
"RUOC2","Rudbeckia occidentalis Nutt.","western coneflower"
"RUPA","Rubus parviflorus Nutt.","thimbleberry"
"RUPA5","Rumex patientia L.","PATIENCE DOCK"
"RUPA6","Rumex paucifolius Nutt.","meadow dock"
"RUPAP","Rumex paucifolius Nutt. ssp. paucifolius","fewleaved dock"
"RUPAP2","Rubus parviflorus Nutt. var. parviflorus","western thimbleberry"
"RUPPI","Ruppia L.","widgeonweed"
"RUSA","Rumex salicifolius Weinm.","WILLOW DOCK"
"RUSAD","Rumex salicifolius Weinm. var. denticulatus Torr.","California dock"
"RUSAM","Rumex salicifolius Weinm. var. mexicanus (Meisn.) C.L. Hitchc.","trianglevalve dock"
"RUSAT4","Rumex salicifolius Weinm. var. transitorius (Rech. f.) J.C. Hickman","WILLOW DOCK"
"RUTI2","Rubia tinctorum L.","madder"
"RUUL","Rubus ulmifolius Schott","elmleaf blackberry"
"RUULA","Rubus ulmifolius Schott var. anoplothyrsus Sudre","elmleaf blackberry"
"RUVE2","Rumex venosus Pursh","VEINY DOCK"
"SAAD","Saxifraga adscendens L.","wedgeleaf saxifrage"
"SAADO2","Saxifraga adscendens L. ssp. oregonensis (Raf.) Bacig.","small saxifrage"
"SAAE","Salvia aethiopis L.","Mediterranean sage"
"SAAL2","Salix alba L.","WHITE WILLOW"
"SAAM2","Salix amygdaloides Andersson","PEACHLEAF WILLOW"
"SAAN2","Sanguisorba annua (Nutt. ex Hook.) Nutt. ex Torr. & A. Gray","western burnet"
"SAAP3","Saxifraga aprica Greene","Sierra saxifrage"
"SAAR6","Salix arctophila Cockerell ex A. Heller","arctic willow"
"SABE2","Salix bebbiana Sarg.","Bebb's willow"
"SABO","Salix bonplandiana Kunth","red willow"
"SABO2","Salix boothii Dorn","Booth's willow"
"SABR","Salix brachycarpa Nutt.","barrenground willow"
"SACA50","Saxifraga caespitosa L.","tufted saxifrage"
"SACAC4","Saxifraga caespitosa L. ssp. caespitosa","tufted alpine saxifrage"
"SACAM2","Saxifraga caespitosa L. ssp. monticola (Small) A.E. Porsild","tufted alpine saxifrage"
"SACE2","Saxifraga cernua L.","nodding saxifrage"
"SACO6","Salvia columbariae Benth.","chia"
"SACOC","Salvia columbariae Benth. var. columbariae","California sage"
"SACU","Sagittaria cuneata Sheldon","arumleaf arrowhead"
"SADO4","Salvia dorrii (Kellogg) Abrams","grayball sage"
"SADOC5","Salvia dorrii (Kellogg) Abrams ssp. dorrii var. clokeyi Strachan","Clokey's sage"
"SADOD2","Salvia dorrii (Kellogg) Abrams ssp. dorrii","Dorr's sage"
"SADOD3","Salvia dorrii (Kellogg) Abrams ssp. dorrii var. dorrii","Dorr's sage"
"SADOI","Salvia dorrii (Kellogg) Abrams ssp. dorrii var. incana (Benth.) Strachan","purple sage"
"SADOP","Salvia dorrii (Kellogg) Abrams ssp. dorrii var. pilosa (A. Gray) Strachan & Reveal","grayball sage"
"SADR","Salix drummondiana Barratt ex Hook.","Drummond's willow"
"SAEA","Salix eastwoodiae Cockerell ex A. Heller","Eastwood's willow"
"SAEB2","Samolus ebracteatus Kunth","Mojave water pimpernel"
"SAEBC","Samolus ebracteatus Kunth ssp. cuneatus (Small) R. Knuth","limewater brookweed"
"SAEX","Salix exigua Nutt.","coyote willow"
"SAFU2","Salvia funerea M.E. Jones","Death Valley sage"
"SAGE2","Salix geyeriana Andersson","Geyer's willow"
"SAGIN","Sagina L.","pearlwort"
"SAGIT","Sagittaria L.","arrowhead"
"SAGL","Salix glauca L.","grayleaf willow"
"SAGLG","Salix glauca L. ssp. glauca","grayleaf willow"
"SAGLV","Salix glauca L. ssp. glauca var. villosa (D. Don ex Hook.) Andersson","grayleaf willow"
"SAGO","Salix gooddingii C.R. Ball","Goodding's willow"
"SAGR5","Sanicula graveolens Poepp. ex DC.","Sierra sanicle"
"SAIRO","Sairocarpus D.A. Sutton","sairocarpus"
"SAJE","Salix jepsonii C.K. Schneid.","Jepson's willow"
"SAKA","Salsola kali L.","Russian thistle"
"SAKI","Sairocarpus kingii (S. Watson) D.A. Sutton","King's snapdragon"
"SALA2","Sagittaria latifolia Willd.","Broadleaf arrowhead"
"SALA3","Salix laevigata Bebb","red willow"
"SALA6","Salix lasiolepis Benth.","arroyo willow"
"SALAL2","Salix lasiolepis Benth. var. lasiolepis","Tracy's willow"
"SALAZ","Salazaria Torr.","bladdersage"
"SALE","Salix lemmonii Bebb","Lemmon's willow"
"SALIC","Salicornia L.","glasswort"
"SALIX","Salix L.","willow"
"SALSO","Salsola L.","Russian thistle"
"SALU","Salix lucida Muhl.","shining willow"
"SALU2","Salix lutea Nutt.","yellow willow"
"SALUC","Salix lucida Muhl. ssp. caudata (Nutt.) A.E. Murray","greenleaf willow"
"SALUL","Salix lucida Muhl. ssp. lasiandra (Benth.) A.E. Murray","Pacific willow"
"SALUL2","Salix lucida Muhl. ssp. lucida","shining willow"
"SALVI","Salvia L.","sage"
"SAMA11","Salicornia maritima Wolff & Jefferies","slender glasswort"
"SAMBU","Sambucus L.","elderberry"
"SAME","Salazaria mexicana Torr.","bladdersage"
"SAME2","Salix melanopsis Nutt.","longleaf willow"
"SAME7","Saxifraga mertensiana Bong.","Mertens' saxifrage"
"SAMI3","Sanguisorba minor Scop.","small burnet"
"SAMIB2","Sanguisorba minor Scop. ssp. balearica (Bourg. ex Nyman) M. Garm. & C. Navarro","small burnet"
"SAMO3","Salvia mohavensis Greene","Mojave sage"
"SAMOL","Samolus L.","waterpimpernel"
"SANGU2","Sanguisorba L.","burnet"
"SANI","Salix nigra Marshall","BLACK WILLOW"
"SANI4","Sambucus nigra L.","European black elderberry"
"SANI5","Saxifraga nidifica Greene","Hooker's saxifrage"
"SANI8","Salix nivalis Hook.","snow willow"
"SANIC","Sanicula L.","sanicle"
"SANIC2","Saxifraga nidifica Greene var. claytoniifolia (Canby ex Small) Elvander","peak saxifrage"
"SANIC4","Sambucus nigra L. ssp. canadensis (L.) R. Bolli","Mexican elderberry"
"SANIC5","Sambucus nigra L. ssp. cerulea (Raf.) R. Bolli","blue elderberry"
"SANIC5","Sambucus nigra L. ssp. cerulea (Raf.) R. Bolli","blue elderberry"
"SANIN","Saxifraga nidifica Greene var. nidifica","peak saxifrage"
"SAOD2","Saxifraga odontoloma Piper","brook saxifrage"
"SAOF4","Saponaria officinalis L.","BOUNCINGBET"
"SAOR","Salix orestera C.K. Schneid.","Sierra willow"
"SAOR2","Saxifraga oregana Howell","box saxifrage"
"SAPA5","Salvia pachyphylla Epling ex Munz","blue sage"
"SAPA8","Salsola paulsenii Litv.","barbwire Russian thistle"
"SAPE5","Salix petiolaris Sm.","meadow willow"
"SAPL2","Salix planifolia Pursh","plainleaf willow"
"SAPON","Saponaria L.","soapwort"
"SAPR3","Salix prolixa Andersson","MacKenzie's willow"
"SARA2","Sambucus racemosa L.","scarlet elderberry"
"SARAM4","Sambucus racemosa L. var. melanocarpa (A. Gray) McMinn","black elderberry"
"SARCO","Sarcobatus Nees","GREASEWOOD"
"SARCO2","Sarcodes Torr.","sarcodes"
"SARE2","Salix reticulata L.","netleaf willow"
"SARE3","Salvia reflexa Hornem.","LANCELEAF SAGE"
"SARH2","Saxifraga rhomboidea Greene","diamondleaf saxifrage"
"SARI8","Saxifraga rivularis L.","pygmy saxifrage"
"SARU","Salicornia rubra A. Nelson","western samphire"
"SASA","Sagina saginoides (L.) Karst.","arctic pearlwort"
"SASA5","Sarcodes sanguinea Torr.","snowplant"
"SASC","Salix scouleriana Barratt ex Hook.","Scouler's willow"
"SASI2","Salix sitchensis Sanson ex Bong.","Sitka willow"
"SATO2","Saxifraga tolmiei Torr. & A. Gray","alpine saxifrage"
"SATR12","Salsola tragus L.","prickly Russian thistle"
"SAVA3","Samolus valerandi L.","SEASIDE BROOKWEED"
"SAVAP","Samolus valerandi L. ssp. parviflorus (Raf.) Hultén","smallflower water pimpernel"
"SAVE4","Sarcobatus vermiculatus (Hook.) Torr.","black greasewood"
"SAVE4","Sarcobatus vermiculatus (Hook.) Torr.","Bailey's greasewood"
"SAWO","Salix wolfii Bebb","Wolf's willow"
"SAXIF","Saxifraga L.","saxifrage"
"SCACA","Schoenoplectus acutus (Muhl. ex Bigelow) Á. Löve & D. Löve var. acutus","HARDSTEM BULRUSH"
"SCAM6","Schoenoplectus americanus (Pers.) Volkart ex Schinz & R. Keller","AMERICAN BULRUSH"
"SCAN3","Scutellaria angustifolia Pursh","narrowleaf skullcap"
"SCAN4","Scutellaria antirrhinoides Benth.","snapdragon skullcap"
"SCANM","Scutellaria angustifolia Pursh ssp. micrantha Olmstead","narrowleaf skullcap"
"SCAR","Schismus arabicus Nees","Arabian schismus"
"SCAR7","Schedonorus arundinaceus (Schreb.) Dumort., nom. cons.","tall fescue"
"SCAR7","Schedonorus arundinaceus (Schreb.) Dumort., nom. cons.","tall fescue"
"SCBA","Schismus barbatus (Loefl. ex L.) Thell.","Mediterraneangrass"
"SCBR2","Scleropogon brevifolius Phil.","burrograss"
"SCCA11","Schoenoplectus californicus (C.A. Mey.) Palla","California threesquare"
"SCCO","Scirpus congdonii Britton","Congdon's bulrush"
"SCDE","Scrophularia desertorum (Munz) R.J. Shaw","mountain figwort"
"SCGA","Scutellaria galericulata L.","marsh scullcap"
"SCHIS","Schismus P. Beauv.","Mediterranean grass"
"SCHOE2","Schoenocrambe Greene","plainsmustard"
"SCHOE4","Schoenus L.","bogrush"
"SCHOE6","Schoenoplectus (Rchb.) Palla","threesquare"
"SCIRP","Scirpus L.","bulrush"
"SCLA","Scrophularia lanceolata Pursh","LANCELEAF FIGWORT"
"SCLER10","Sclerocactus Britton & Rose","fishhook cactus"
"SCLER7","Scleropogon Phil.","Scleropogon"
"SCLI","Schoenocrambe linifolia (Nutt.) Greene","rush mustard"
"SCMI2","Scirpus microcarpus J. Presl & C. Presl","smallfruit bulrush"
"SCNA","Scutellaria nana A. Gray","dwarf skullcap"
"SCNE","Scirpus nevadensis S. Watson","Nevada bulrush"
"SCNI","Schoenus nigricans L.","black bog rush"
"SCOPU","Scopulophila M.E. Jones","rockwort"
"SCPA","Schedonnardus paniculatus (Nutt.) Trel.","TUMBLEGRASS"
"SCPA9","Sclerocactus parviflorus Clover & Jotter","Small flower fishook cactus"
"SCPO4","Sclerocactus polyancistrus (Engelm. & J.M. Bigelow) Britton & Rose","Mojave fishhook cactus"
"SCPR4","Schedonorus pratensis (Huds.) P. Beauv.","MEADOW FESCUE"
"SCPR4","Schedonorus pratensis (Huds.) P. Beauv.","MEADOW FESCUE"
"SCPU10","Schoenoplectus pungens (Vahl) Palla","common threesquare"
"SCPU6","Sclerocactus pubispinus (Engelm.) L.D. Benson","Great Basin fishook cactus"
"SCPUP5","Schoenoplectus pungens (Vahl) Palla var. pungens","common threesquare"
"SCRI2","Scopulophila rixfordii (Brandegee) Munz & I.M. Johnst.","Rixfords' scopulophila"
"SCROP","Scrophularia L.","figwort"
"SCSA6","Scutellaria sapphirina (Barneby) Olmstead","White Pine skullcap"
"SCSPB","Sclerocactus spinosior (Engelm.) Woodruff & L.D. Benson ssp. blainei (S.L. Welsh & Thorne) F. Hochstätter","Blain's fishook cactus"
"SCSPB","Sclerocactus spinosior (Engelm.) Woodruff & L.D. Benson ssp. blainei (S.L. Welsh & Thorne) F. Hochstätter","Schlesser's fishook cactus"
"SCTA2","Schoenoplectus tabernaemontani (C.C. Gmel.) Palla","SOFTSTEM BULRUSH"
"SCUTE","Scutellaria L.","skullcap"
"SEAM","Senecio amplectens A. Gray","alpine groundsel"
"SEAMH","Senecio amplectens A. Gray var. holmii (Greene) Harrington","Holm's groundsel"
"SEAR8","Senna armata (S. Watson) Irwin & Barneby","desertsenna"
"SECAL","Secale L.","rye"
"SECE","Secale cereale L.","cereal rye"
"SECO10","Senna covesii (A. Gray) Irwin & Barneby","Coves' cassia"
"SECR","Senecio crassulus A. Gray","meadow groundsel"
"SEDE","Sedum debile S. Watson","weakstem stonecrop"
"SEDE2","Selaginella densa Rydb.","lesser spikemoss"
"SEDES","Selaginella densa Rydb. var. scopulorum (Maxon) R. Tryon","Rocky Mountain spikemoss"
"SEDI3","Selinocarpus diffusus A. Gray","spreading moonpod"
"SEDUM","Sedum L.","stonecrop"
"SEFL3","Senecio flaccidus Less.","THREADLEAF GROUNDSEL"
"SEFLD","Senecio flaccidus Less. var. douglasii (DC.) B.L. Turner & T.M. Barkley","Douglas' groundsel"
"SEFLM","Senecio flaccidus Less. var. monoensis (Greene) B.L. Turner & T.M. Barkley","Mono groundsel"
"SEFR3","Senecio fremontii Torr. & A. Gray","Fremont's groundsel"
"SEFRO","Senecio fremontii Torr. & A. Gray var. occidentalis A. Gray","western groundsel"
"SEGI2","Sequoiadendron giganteum (Lindl.) J. Buchholz","giant sequoia"
"SEGR4","Senegalia greggii (A. Gray) Britton & Rose","catclaw"
"SEGR4","Senegalia greggii (A. Gray) Britton & Rose","catclaw"
"SEHY","Senecio hydrophiloides Rydb.","tall groundsel"
"SEHY2","Senecio hydrophilus Nutt.","alkali marsh groundsel"
"SEIN2","Senecio integerrimus Nutt.","lambstongue groundsel"
"SEINE","Senecio integerrimus Nutt. var. exaltatus (Nutt.) Cronquist","Columbia groundsel"
"SEINM","Senecio integerrimus Nutt. var. major (A. Gray) Cronquist","lambstongue groundsel"
"SELA","Sedum lanceolatum Torr.","lanceleaf stonecrop"
"SELAG","Selaginella P. Beauv.","spikemoss"
"SELAL","Sedum lanceolatum Torr. ssp. lanceolatum","spearleaf stonecrop"
"SELE3","Selaginella leucobryoides Maxon","Mohave spikemoss"
"SELIN","Selinocarpus A. Gray","MOONPOD"
"SEMO3","Senecio mohavensis A. Gray","Mohave groundsel"
"SENE5","Selinocarpus nevadensis (Standl.) Fowler & Turner","Nevada moonpod"
"SENEC","Senecio L.","groundsel"
"SENNA","Senna Mill.","Senna"
"SEOB","Sedum obtusatum A. Gray","Sierran stonecrop"
"SEOBO","Sedum obtusatum A. Gray ssp. obtusatum","Sierran stonecrop"
"SEPA10","Setaria parviflora (Poir.) Kerguélen","knottroot bristlegrass"
